"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000189221.9",2373.80530666857,3.38765439100125,0.136984725340703,1.84493930984867e-137,3.11757844578229e-133,"MAOA","4128"
"ENSG00000120129.5",3420.72722668767,2.96334836319669,0.12084981851712,6.35042375601189e-135,5.36547303145445e-131,"DUSP1","1843"
"ENSG00000101347.9",14125.5841210142,3.74129175571407,0.15792677973987,2.8898330027183e-127,1.62774660266446e-123,"SAMHD1","25939"
"ENSG00000196136.17",2710.21742603852,3.23518345105421,0.143950996111742,3.68488166639805e-114,1.55667825996985e-110,"SERPINA3","12"
"ENSG00000152583.12",974.737366684742,4.48640613542987,0.201275651988762,2.94551443720581e-113,9.95466059198077e-110,"SPARCL1","8404"
"ENSG00000211445.11",12512.7915263227,3.75874563219019,0.169535830279768,2.36246306452666e-112,6.65348347739525e-109,"GPX3","2878"
"ENSG00000162614.18",5511.42886062423,2.00242475529083,0.0918990046021084,9.3527441061494e-107,2.25775242722447e-103,"NEXN","91624"
"ENSG00000157214.13",3032.09554258641,2.00772155055225,0.0934255256219244,1.04886341863418e-103,2.21546175601004e-100,"STEAP2","261729"
"ENSG00000154734.14",29608.2224675216,2.23119034397186,0.109592761037622,9.79083451002435e-94,1.83828357278213e-90,"ADAMTS1","9510"
"ENSG00000125148.6",3691.40735646806,2.22625954379995,0.10951217453342,2.05448558846141e-93,3.47166974738209e-90,"MT2A","4502"
"ENSG00000109906.13",438.193981971508,6.35006088835864,0.315957644504544,8.08933590243127e-92,1.24266907344803e-88,"ZBTB16","7704"
"ENSG00000134243.11",5543.59360082063,2.19213004219512,0.113610837025717,1.29903234899347e-84,1.8292540527743e-81,"SORT1","6272"
"ENSG00000139132.14",1215.52553921277,2.14246858932624,0.112315555576017,1.77995994966619e-82,2.3136740945738e-79,"FGD4","121512"
"ENSG00000127954.12",493.200428518741,4.72209825743034,0.252296384156955,2.04378727860063e-80,2.46685124527096e-77,"STEAP4","79689"
"ENSG00000178695.5",2646.11820131036,-2.51718866915471,0.137820105174923,1.73523393416814e-76,1.95479886797154e-73,"KCTD12","115207"
"ENSG00000106484.15",942.144729137826,-2.01996197392921,0.112745181029226,3.05058486294693e-73,3.22179893837983e-70,"MEST","4232"
"ENSG00000162692.11",504.943122753552,-3.65065706231819,0.20704768195508,6.10232947617832e-72,6.06571549932125e-69,"VCAM1","7412"
"ENSG00000166741.7",7493.99425894884,2.23269628889848,0.128365116661422,2.52098328723491e-69,2.36664308820531e-66,"NNMT","4837"
"ENSG00000145390.11",8699.60480031948,2.28151913612917,0.133489243074664,2.16585998225718e-67,1.92624747264115e-64,"USP53","54532"
"ENSG00000179094.15",773.192105758149,3.10828846986477,0.18383081797029,2.43797867062026e-66,2.05984817880706e-63,"PER1","5187"
"ENSG00000198624.12",2038.17767002042,2.83064885539956,0.167718885135958,3.34796210818093e-66,2.69399350971625e-63,"CCDC69","26112"
"ENSG00000253368.3",1047.13743381845,2.01228025006423,0.11850666751421,4.53627963440995e-66,3.48427514828452e-63,"TRNP1","388610"
"ENSG00000163884.3",566.217643764746,4.48208199883912,0.267733396739012,6.97946725750234e-66,5.12778424857715e-63,"KLF15","28999"
"ENSG00000119139.19",5707.07700588364,1.94865801356313,0.116801015581749,2.29040761950458e-64,1.61263783143285e-61,"TJP2","9414"
"ENSG00000124766.6",1280.04219568706,-2.36810857522477,0.145771673875999,3.68936940165489e-61,2.49371856596657e-58,"SOX4","6659"
"ENSG00000126016.15",401.009712736367,-2.56146115035001,0.157764461610126,1.10974343733605e-60,7.21247869388639e-58,"AMOT","154796"
"ENSG00000163661.3",9819.06486685456,2.23901323909193,0.138732492106768,1.72867587860629e-60,1.08189499987738e-57,"PTX3","5806"
"ENSG00000146250.6",309.821805030152,-2.70158253544723,0.166790400572265,2.8829454178735e-60,1.73985755968666e-57,"PRSS35","167681"
"ENSG00000233117.2",121.800702380889,4.8619927868981,0.300754900415716,6.52147249722184e-60,3.79999456062258e-57,NA,NA
"ENSG00000163394.5",1173.06977218889,-2.16311507151182,0.134553798734613,1.393720200309e-59,7.85036131494049e-57,"CCKAR","886"
"ENSG00000163083.5",422.293738869504,3.45999378296979,0.219169226144533,5.28861114162632e-58,2.88280487326457e-55,"INHBB","3625"
"ENSG00000136478.7",3708.27847381302,1.48528205962779,0.0942927498104175,3.7092790966865e-57,1.95873119299402e-54,"TEX2","55852"
"ENSG00000262655.3",1635.2341311335,1.77859778420537,0.113326028692495,7.8322971348648e-57,4.01061081772562e-54,"SPON1","10418"
"ENSG00000116285.12",3248.61226378841,2.41763352988057,0.157232801644148,2.47855733967578e-55,1.23184299781886e-52,"ERRFI1","54206"
"ENSG00000165995.19",562.819490767498,3.11332044156679,0.202968084471405,5.41620379972885e-55,2.61494319450909e-52,"CACNB2","783"
"ENSG00000162493.16",1058.95180872109,1.76275666256394,0.114398101296744,7.60157768676098e-55,3.56809610419131e-52,"PDPN","10630"
"ENSG00000105989.9",349.543265584188,-3.02021420830479,0.19702080981753,2.19191713900779e-54,1.00105448148523e-51,"WNT2","7472"
