"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000189221.9",2372.07327038368,3.38515645935459,0.136553700877222,4.35902140985128e-138,6.92125419456187e-134,"MAOA","4128"
"ENSG00000120129.5",3418.7376719045,2.9624013969821,0.121135375218583,6.63138441059141e-134,5.26465608356852e-130,"DUSP1","1843"
"ENSG00000101347.9",14114.6651100238,3.73755850808085,0.158400838096382,1.96622203755042e-126,1.04065578374085e-122,"SAMHD1","25939"
"ENSG00000152583.12",973.967775830774,4.48381519351882,0.200722624165082,9.24093056552873e-114,3.66818738798663e-110,"SPARCL1","8404"
"ENSG00000196136.17",2709.50841847039,3.23241990383771,0.144978819737798,2.03125238368659e-112,6.45044506963514e-109,"SERPINA3","12"
"ENSG00000211445.11",12509.5427468555,3.75475534423884,0.171033937721054,2.61152306481969e-110,6.91096053720116e-107,"GPX3","2878"
"ENSG00000157214.13",3030.96449637051,2.00355089675237,0.0929827431979934,2.08418123274234e-104,4.72751851621183e-101,"STEAP2","261729"
"ENSG00000162614.18",5509.11380271038,2.00067798087031,0.0938425369484038,3.10270716895126e-102,6.15809805357601e-99,"NEXN","91624"
"ENSG00000125148.6",3689.37794201193,2.22312646421711,0.109888106708758,1.38089251282271e-92,2.4362012576221e-89,"MT2A","4502"
"ENSG00000109906.13",437.778689529372,6.3449622242778,0.314558639088477,1.5926030840946e-92,2.5287351769254e-89,"ZBTB16","7704"
"ENSG00000154734.14",29587.9575150536,2.22762900333618,0.111444677076627,1.54141978790521e-90,2.22496939930535e-87,"ADAMTS1","9510"
"ENSG00000134243.11",5539.872582699,2.18921196252867,0.112824247842614,1.43982714286112e-85,1.90513128119574e-82,"SORT1","6272"
"ENSG00000139132.14",1214.47538923799,2.1398994071893,0.111259550432095,8.75051329037869e-84,1.06877423095871e-80,"FGD4","121512"
"ENSG00000127954.12",493.295719391507,4.71934227485564,0.250238605233787,1.23542408181698e-81,1.401147397935e-78,"STEAP4","79689"
"ENSG00000178695.5",2647.76750012263,-2.51983843787679,0.138268427949907,3.60330125126432e-76,3.81421448450499e-73,"KCTD12","115207"
"ENSG00000106484.15",943.126163919565,-2.02473161601482,0.111990742703636,2.56462692024001e-74,2.54507163997318e-71,"MEST","4232"
"ENSG00000162692.11",505.32527713605,-3.65297619413788,0.205201993111325,2.87555622224252e-73,2.68576951157451e-70,"VCAM1","7412"
"ENSG00000166741.7",7489.74076932452,2.2274836390927,0.12903855542648,1.4734687251138e-68,1.2997631342976e-65,"NNMT","4837"
"ENSG00000163884.3",565.912006563355,4.47903851958377,0.265468011977516,7.0162865123871e-67,5.86339985493065e-64,"KLF15","28999"
"ENSG00000179094.15",772.761072537537,3.10552813865503,0.183239491834937,1.16884740995011e-66,9.27947958759396e-64,"PER1","5187"
"ENSG00000145390.11",8696.49825236664,2.27808919376479,0.134549022580237,4.16836748199425e-66,3.15168280376689e-63,"USP53","54532"
"ENSG00000198624.12",2037.41644649005,2.82789093624067,0.168545278018862,1.75323866559489e-65,1.2653601605598e-62,"CCDC69","26112"
"ENSG00000253368.3",1046.55375900487,2.00957135803419,0.119006243206875,2.27823740146802e-65,1.57277623741344e-62,"TRNP1","388610"
"ENSG00000119139.19",5705.06059930417,1.9526564945837,0.116581664051323,1.67750231460341e-64,1.10980757296971e-61,"TJP2","9414"
"ENSG00000124766.6",1280.57412880376,-2.37073105866454,0.145002328306336,6.60611610729318e-62,4.19567646206404e-59,"SOX4","6659"
"ENSG00000146250.6",310.157086425245,-2.70420137876175,0.164704021620987,7.20440501843443e-62,4.39967472625777e-59,"PRSS35","167681"
"ENSG00000126016.15",401.125691722962,-2.56441112905367,0.156490152493451,9.27292558585317e-62,5.45316712785839e-59,"AMOT","154796"
"ENSG00000233117.2",121.719323564943,4.86019563897981,0.296345029372678,1.44464163293685e-61,8.19214994563263e-59,NA,NA
"ENSG00000163661.3",9812.70995073786,2.23631999096886,0.138759626544627,2.59248366814438e-60,1.41942950630332e-57,"PTX3","5806"
"ENSG00000163394.5",1174.71663239388,-2.16568122303647,0.135050179245201,2.56514767219662e-59,1.35764715797126e-56,"CCKAR","886"
"ENSG00000163083.5",421.526655464102,3.45758924338054,0.216905120396592,4.37400826980127e-59,2.24033881638402e-56,"INHBB","3625"
"ENSG00000136478.7",3706.51000498317,1.48261979232509,0.0940900669114795,3.5508114803296e-57,1.76186827139604e-54,"TEX2","55852"
"ENSG00000262655.3",1634.77561743194,1.77608504108657,0.113236161011533,9.33805588165078e-57,4.49301973602579e-54,"SPON1","10418"
"ENSG00000105989.9",349.888676918303,-3.02359634453026,0.193891810826443,3.57342829819313e-56,1.66879101525619e-53,"WNT2","7472"
"ENSG00000116285.12",3246.15185773043,2.41501781930225,0.156585495488973,1.22763055955494e-55,5.56923372131811e-53,"ERRFI1","54206"
"ENSG00000162493.16",1058.74533678625,1.75996351862486,0.113696727205319,2.45790724664781e-55,1.08407364617428e-52,"PDPN","10630"
"ENSG00000165995.19",562.592077074795,3.10860044576002,0.202210433744531,2.86339430628131e-55,1.2287831025712e-52,"CACNB2","783"
"ENSG00000154930.14",658.934346141589,1.85731806218495,0.120900651401426,1.62610011363479e-54,6.7945309484982e-52,"ACSS1","84532"
"ENSG00000046653.14",1126.37721960713,2.63156271099807,0.172599449086281,3.49843573063701e-54,1.42431185977063e-51,"GPM6B","2824"
"ENSG00000196569.12",17934.2284734551,2.01858965168573,0.133403584563951,1.94108001096421e-53,7.70511710352244e-51,"LAMA2","3908"
"ENSG00000107562.16",27594.2598755661,-1.80430654161149,0.119586359628986,4.07534995735663e-53,1.57825382007094e-50,"CXCL12","6387"
"ENSG00000126803.9",464.433240877793,2.4972885267665,0.168391368877443,2.86103574126432e-51,1.08160774999512e-48,"HSPA2","3306"
"ENSG00000148175.12",13522.0028661984,1.40885757564045,0.0957651022047265,3.09157198890217e-50,1.14158093115788e-47,"STOM","2040"
"ENSG00000185432.11",3947.18955895774,2.19390601137635,0.151446966966728,2.04725437154546e-49,7.38779657077246e-47,"METTL7A","25840"
"ENSG00000157150.4",191.693241519327,2.88198725867488,0.197621354507933,2.68554522301044e-49,9.47579712243551e-47,"TIMP4","7079"
"ENSG00000138316.10",754.157529863304,-2.46681737741328,0.172092604159256,1.61564505536386e-48,5.5767852584929e-46,"ADAMTS14","140766"
"ENSG00000103196.11",3130.37323713544,2.60301154287904,0.183335652696141,4.61632745178069e-48,1.55953292083774e-45,"CRISPLD2","83716"
"ENSG00000172403.10",9151.69836899782,1.73861146806852,0.121678237223488,5.41906992601531e-48,1.79258317260982e-45,"SYNPO2","171024"
"ENSG00000164647.8",1853.36511789802,1.55515299405539,0.109318953228131,3.52653245269433e-47,1.14274045477307e-44,"STEAP1","26872"
"ENSG00000162616.8",1436.44763330162,1.30160080552176,0.091556258501044,6.26867710847056e-47,1.99068110256591e-44,"DNAJB4","11080"
"ENSG00000102804.14",5294.33155624887,1.18195129073917,0.0832437312246735,6.62620156429175e-47,2.0629574203495e-44,"TSC22D1","8848"
"ENSG00000124762.13",8043.21867397166,-0.994936971124402,0.0702558250976122,1.22172175651426e-46,3.73048039421796e-44,"CDKN1A","1026"
"ENSG00000148848.14",1357.41650918207,-1.83736102077469,0.130360808568352,1.48596482213592e-46,4.4517263105423e-44,"ADAM12","8038"
"ENSG00000197381.15",1887.62801600245,2.21163881286766,0.15899496447985,7.59170431098815e-46,2.23224224166426e-43,"ADARB1","104"
"ENSG00000133142.17",3000.79294031822,1.50217471203212,0.107906569058129,2.3523481814184e-45,6.79101534992023e-43,"TCEAL4","79921"
"ENSG00000145685.13",2007.20346034562,-1.16079504886437,0.083388665901222,4.28111380600068e-45,1.21384866092284e-42,"LHFPL2","10184"
"ENSG00000167641.10",237.261160984311,3.0036370241959,0.217341908240324,4.65495581486717e-45,1.29669102506072e-42,"PPP1R14A","94274"
"ENSG00000187193.8",195.035917157615,3.15891177898401,0.228030098643744,4.82529755946172e-45,1.3209668042954e-42,"MT1X","4501"
